#Position (bp)	insert size	chromosomes
1.199487392E9	284.10084740174096	0.0
1.202092152E9	306.1914011068412	664084.2824987323
1.2043644265E9	318.42538381916336	0.0
1.2069691865E9	277.4641325159931	0.0
1.2088051865E9	267.84547513078786	664084.2824987323
1.2105562365E9	284.3104607299458	0.0
1.2129644505E9	305.1665944204078	0.0
1.213948815E9	277.35741193239664	664084.2824987323
1.2148954695E9	297.5133305861749	0.0
1.216457445E9	287.3874146592812	0.0
1.217911186E9	285.80300288774356	664084.2824987323
1.218823316E9	454.7461812627291	0.0
1.219507816E9	392.9106889071733	0.0
1.2206494515E9	287.24759249467223	664084.2824987323
1.2219224515E9	380.38162468243235	0.0
1.223072692E9	306.9048371125678	0.0
1.2239243165E9	271.44299968156247	664084.2824987323
1.2244053165E9	276.30830064532455	0.0
1.2250439325E9	265.50922575976847	0.0
1.2259315325E9	300.582393143849	664084.2824987323
1.2267506325E9	300.94490411134626	0.0
1.2274637485E9	279.5247484552041	0.0
1.2280810585E9	276.9840501441083	664084.2824987323
1.2286817535E9	281.5886772789161	0.0
1.2292114875E9	287.1877264957265	0.0
1.2294984875E9	278.7391505791506	664084.2824987323
1.2297502545E9	267.0742035742036	0.0
1.2301495315E9	277.33727780547616	0.0
1.2305316745E9	251.73085016835017	664084.2824987323
1.2308896405E9	268.62230193956344	0.0
1.2312339075E9	282.9079823445799	0.0
1.2315715745E9	283.08058440236204	664084.2824987323
1.2319060745E9	255.14896542969578	0.0
1.2322360745E9	263.3366938008766	0.0
1.2325600745E9	244.65252614523493	664084.2824987323
1.2328796705E9	282.0455332252246	0.0
1.2331988665E9	234.64211636491476	0.0
1.233510837E9	268.0125837074104	664084.2824987323
1.2338121355E9	295.6355540201161	0.0
1.2341094015E9	289.3429477989946	0.0
1.2343962395E9	255.26955475330928	664084.2824987323
1.23459549E9	286.18365743468866	0.0
1.2347282085E9	295.50351966873706	0.0
1.23493034E9	277.74218805356765	664084.2824987323
1.2351851035E9	277.7109980430528	0.0
1.2354287035E9	273.1637606837607	0.0
1.235663826E9	267.63751833835227	664084.2824987323
1.235894999E9	296.28643239556374	0.0
1.236123212E9	279.24141787834463	0.0
1.2363451615E9	276.58931849472236	664084.2824987323
1.236559101E9	242.73470234391206	0.0
1.2367647535E9	278.9920328153349	0.0
1.236962959E9	239.61093173431735	664084.2824987323
1.2371580895E9	287.29607548788334	0.0
1.237347526E9	279.5305945452471	0.0
1.237531526E9	278.72302171860247	664084.2824987323
1.2377105145E9	220.09961190168175	0.0
1.237882035E9	273.42707077664886	0.0
1.2380449375E9	277.7749386753884	664084.2824987323
1.238200508E9	285.44502709316555	0.0
1.2383546965E9	237.37664783427496	0.0
1.2385080855E9	278.9645677928916	664084.2824987323
1.238659708E9	218.7112526539278	0.0
1.2388079415E9	249.81625282167042	0.0
1.2389537875E9	285.35818381196066	664084.2824987323
1.2390981595E9	245.27525423728812	0.0
1.239241155E9	302.49805773951954	0.0
1.23938377E9	274.4390796819489	664084.2824987323
1.239523837E9	227.99785177228787	0.0
1.2396614805E9	260.3308598865124	0.0
1.2397979815E9	279.1867805945908	664084.2824987323
1.2398658115E9	0.0	0.0
1.2399331055E9	271.69013510761084	0.0
1.240067526E9	280.78612924643136	664084.2824987323
1.2402015135E9	279.4401371121634	0.0
1.2403343185E9	275.09002841041405	0.0
1.240463255E9	278.04061685490876	664084.2824987323
1.2405882285E9	281.6024913317067	0.0
1.2407117605E9	284.79972602739724	0.0
1.2408344905E9	289.08344689886854	664084.2824987323
1.2409547685E9	284.93578544614496	0.0
1.241072398E9	249.13917156370934	0.0
1.241189119E9	294.2939048267643	664084.2824987323
1.2413052295E9	282.2383384405856	0.0
1.241419816E9	293.575828297562	0.0
1.241532907E9	297.6364456961294	664084.2824987323
1.2416443825E9	270.94057843996495	0.0
1.241754342E9	271.5250023107496	0.0
1.241862925E9	289.5489716288605	664084.2824987323
1.2419699985E9	287.4129200373367	0.0
1.2420765565E9	287.3993896397289	0.0
1.242181084E9	278.0649607742503	664084.2824987323
1.2422839165E9	286.0006105006105	0.0
1.2423864675E9	289.0097426831664	0.0
1.242487262E9	272.78952237770324	664084.2824987323
1.2425862765E9	285.0737039101696	0.0
1.242684779E9	288.2153252013375	0.0
1.2427829085E9	273.03081698259615	664084.2824987323
1.242880977E9	258.507647010714	0.0
1.2429778635E9	292.8992882944101	0.0
1.2430734425E9	286.61727704780543	664084.2824987323
1.2431687625E9	238.7351430667645	0.0
1.243263771E9	246.17662461318733	0.0
1.243358506E9	289.9038873733437	664084.2824987323
1.2434521555E9	290.15584780268637	0.0
1.2435446105E9	271.9314125446201	0.0
1.243636722E9	286.38260099356876	664084.2824987323
1.2437286695E9	281.64574877718803	0.0
1.2438202425E9	295.41576845450254	0.0
1.24391134E9	289.587066740413	664084.2824987323
1.244002133E9	295.6461493090664	0.0
1.244091285E9	302.81373789128173	0.0
1.2441785805E9	279.2121414276184	664084.2824987323
1.244265562E9	288.70148343832557	0.0
1.2443525005E9	278.4505424377792	0.0
1.2444394075E9	293.3413551693962	664084.2824987323
1.244526171E9	285.3232714664491	0.0
1.244612722E9	280.8369910100476	0.0
1.2446990635E9	280.7875628199709	664084.2824987323
1.244784807E9	227.76934749620636	0.0
1.2448699465E9	286.8090520590521	0.0
1.2449549465E9	229.33094213295075	664084.2824987323
1.2450363635E9	274.28513182930146	0.0
1.2450788635E9	268.12158054711244	0.0
1.245124483E9	289.80713778048533	664084.2824987323
1.245208322E9	278.5919060052219	0.0
1.245291749E9	232.0953724604966	0.0
1.2453749645E9	282.55036930652443	664084.2824987323
1.24545813E9	280.8559622195986	0.0
1.2455410435E9	287.6220101547685	0.0
1.245623686E9	292.9892894723276	664084.2824987323
1.245706217E9	248.733014354067	0.0
1.2457883525E9	291.9953131657435	0.0
1.2458700815E9	294.2244183753943	664084.2824987323
1.2459515655E9	287.00273845199956	0.0
1.2460326745E9	304.7609635577517	0.0
1.2461133765E9	272.34950071326676	664084.2824987323
1.246193759E9	288.3001075011945	0.0
1.2462737955E9	282.8100745865312	0.0
1.246353505E9	287.47354991570603	664084.2824987323
1.2464330355E9	273.58604526583633	0.0
1.2465124845E9	276.5690347597286	0.0
1.246591786E9	287.31187774947904	664084.2824987323
1.246670842E9	283.27397396402665	0.0
1.2467497525E9	289.0466277689873	0.0
1.2468284585E9	288.6463888398375	664084.2824987323
1.246906944E9	237.22889155662264	0.0
1.246985361E9	289.57846742167965	0.0
1.2470635605E9	286.5699096225412	664084.2824987323
1.247141556E9	290.1420060869002	0.0
1.247219478E9	289.88886221795485	0.0
1.247297317E9	283.2235077010434	664084.2824987323
1.2473749065E9	256.80117584179584	0.0
1.247452015E9	239.59941398074508	0.0
1.247528684E9	292.0603302183702	664084.2824987323
1.2476050985E9	282.66540710109797	0.0
1.247681442E9	307.5000920866843	0.0
1.247757714E9	293.95279114939615	664084.2824987323
1.247833923E9	288.11113144530356	0.0
1.2479099405E9	284.3805339081413	0.0
1.2479856185E9	247.94002961500493	664084.2824987323
1.248060965E9	280.3566623391951	0.0
1.248136018E9	287.771176234444	0.0
1.248210766E9	285.837465112461	664084.2824987323
1.2482852525E9	282.76363636363635	0.0
1.2483595655E9	283.59045648519333	0.0
1.2484338275E9	254.14358030372756	664084.2824987323
1.2485081415E9	221.82410714285714	0.0
1.2485823085E9	278.7633525669478	0.0
1.248656221E9	269.48180622533977	664084.2824987323
1.248729996E9	293.4519918829435	0.0
1.248803631E9	278.1792881990902	0.0
1.24887699E9	286.0518533522382	664084.2824987323
1.248949989E9	261.9090425127386	0.0
1.2490226935E9	319.2463424947146	0.0
1.24909522E9	288.87595596268596	664084.2824987323
1.2491676375E9	298.7985111662531	0.0
1.2492400235E9	284.82195874301135	0.0
1.249312281E9	228.94950055493896	664084.2824987323
1.2493843785E9	297.879289364809	0.0
1.2494564175E9	283.92051481050316	0.0
1.249528423E9	286.9227996687935	664084.2824987323
1.2496003075E9	288.00448572150617	0.0
1.249672057E9	287.04123590911746	0.0
1.249743755E9	274.58104411261826	664084.2824987323
1.249815418E9	289.3385887428102	0.0
1.2498870555E9	288.7724038247721	0.0
1.2499585885E9	273.55804195804194	664084.2824987323
1.2500299765E9	284.6502917520896	0.0
1.2501012565E9	283.97167668670676	0.0
1.2501724235E9	292.8814493129375	664084.2824987323
1.25024351E9	300.88527851458883	0.0
1.250281923E9	290.27735849056603	0.0
1.250317436E9	291.4124102315823	664084.2824987323
1.250385436E9	287.0587180100454	0.0
1.250456128E9	303.80718575492574	0.0
1.2505267305E9	318.41222570532915	664084.2824987323
1.250597235E9	284.88627326228726	0.0
1.2506676895E9	288.757998572263	0.0
1.250738137E9	286.95678544351784	664084.2824987323
1.2508084315E9	281.04931656642975	0.0
1.25087841E9	280.9374701670644	0.0
1.2509481895E9	243.1692528049654	664084.2824987323
1.2510178765E9	287.1033949360905	0.0
1.2510874685E9	237.24854481955762	0.0
1.251156914E9	267.9722925457103	664084.2824987323
1.2512262325E9	288.10241218789673	0.0
1.2512954485E9	288.20925484858793	0.0
1.2513645695E9	285.0967225054625	664084.2824987323
1.2514336535E9	268.2638290229885	0.0
1.251502616E9	289.751880307319	0.0
1.251571471E9	289.2480908921587	664084.2824987323
1.251640227E9	293.96924969249693	0.0
1.2517086745E9	286.5591755319149	0.0
1.2517764175E9	291.3422392554065	664084.2824987323
1.251843634E9	286.3976730171974	0.0
1.251910797E9	293.26502732240436	0.0
1.2519779235E9	291.0279145155481	664084.2824987323
1.252044986E9	274.8042059463379	0.0
1.25211183E9	284.8784419939382	0.0
1.2521784465E9	293.77312789710777	664084.2824987323
1.2522449675E9	295.1689462365591	0.0
1.252311527E9	244.08915196907466	0.0
1.252377986E9	277.25368029739775	664084.2824987323
1.2524441585E9	289.50463422707713	0.0
1.252510211E9	294.4150057204793	0.0
1.2525761415E9	282.3040924592649	664084.2824987323
1.2526419145E9	286.52306671091935	0.0
1.252707578E9	286.21430785444176	0.0
1.2527731845E9	288.08684168400833	664084.2824987323
1.2528387475E9	286.2304164509209	0.0
1.252904181E9	286.3256936067551	0.0
1.252969506E9	286.815105217642	664084.2824987323
1.2530347485E9	286.5314910025707	0.0
1.2530997895E9	321.6516564417178	0.0
1.2531646855E9	273.9734377985859	664084.2824987323
1.2532295435E9	287.3914926378597	0.0
1.2532943245E9	286.2449380477486	0.0
1.253359026E9	281.95907750997054	664084.2824987323
1.253423687E9	285.0117557348923	0.0
1.253488244E9	284.08180235931155	0.0
1.253552568E9	280.2769073070728	664084.2824987323
1.253616723E9	238.27791832309362	0.0
1.253680761E9	294.6982124079916	0.0
1.2537445545E9	287.41717900212814	664084.2824987323
1.2538081025E9	283.46083838940984	0.0
1.2538715195E9	287.41481711097333	0.0
1.2539348625E9	296.4744831574382	664084.2824987323
1.253998168E9	288.91544623351405	0.0
1.254061334E9	247.19907407407408	0.0
1.254124366E9	286.2449612403101	664084.2824987323
1.254187323E9	285.92343449100207	0.0
1.254250153E9	287.1243873817906	0.0
1.2543128285E9	286.961789434057	664084.2824987323
1.25437534E9	255.14027149321268	0.0
1.254437781E9	289.5056013788009	0.0
1.2545002115E9	287.7410443771164	664084.2824987323
1.254562485E9	291.1769276748356	0.0
1.254624597E9	272.3849887328827	0.0
1.2546866495E9	270.2444739168877	664084.2824987323
1.254748632E9	289.4575621831899	0.0
1.254810511E9	280.29478092783506	0.0
1.254872187E9	282.59167632387766	664084.2824987323
1.2549337455E9	291.34018267331595	0.0
1.254995275E9	286.93991555699904	0.0
1.2550567275E9	281.4669693862604	664084.2824987323
1.2551180515E9	265.0965092402464	0.0
1.255179213E9	294.39172962763087	0.0
1.2552402865E9	288.8570693756831	664084.2824987323
1.255301341E9	307.0143451319922	0.0
1.25536209E9	288.5404960852688	0.0
1.255422519E9	281.516229228141	664084.2824987323
1.25547352E9	233.17361111111111	0.0
1.2555037085E9	211.42587601078168	0.0
1.2555432125E9	216.8393895348837	664084.2824987323
1.2556034385E9	319.4804080310881	0.0
1.255663597E9	286.68047708725675	0.0
1.255723746E9	287.7376379690949	664084.2824987323
1.255783844E9	304.0047822374039	0.0
1.2558438215E9	300.07619105715855	0.0
1.255903751E9	268.949785670545	664084.2824987323
1.2559636465E9	289.6621691748832	0.0
