#Position (bp)	insert size	chromosomes
1.2105562365E9	293.39168257345807	0.0
1.2129644505E9	267.52681781861764	0.0
1.213948815E9	263.9335511982571	722372.1700253274
1.2148954695E9	273.8958614251634	0.0
1.216457445E9	269.8092219736515	0.0
1.217911186E9	296.4465507941579	722372.1700253274
1.218823316E9	1047.075536177233	0.0
1.219507816E9	359.8361650067202	0.0
1.2206494515E9	211.481884057971	722372.1700253274
1.2219224515E9	429.7145775151753	0.0
1.223072692E9	304.47367758895257	0.0
1.2239243165E9	198.1520737327189	722372.1700253274
1.2244053165E9	257.41793570219966	0.0
1.2250439325E9	273.8614042376402	0.0
1.2259315325E9	329.44967000733317	722372.1700253274
1.2267506325E9	282.1825261046546	0.0
1.2274637485E9	288.1043862349904	0.0
1.2280810585E9	260.2081475653466	722372.1700253274
1.2286817535E9	295.09185809786453	0.0
1.2292114875E9	280.0686883449032	0.0
1.2294984875E9	272.6550491510277	722372.1700253274
1.2297502545E9	194.73417721518987	0.0
1.2301495315E9	285.85887975930916	0.0
1.2305316745E9	256.7839275162498	722372.1700253274
1.2308896405E9	196.30864197530863	0.0
1.2312339075E9	266.68097632773214	0.0
1.2315715745E9	272.88623326959845	722372.1700253274
1.2319060745E9	256.07836801028026	0.0
1.2322360745E9	186.28378378378378	0.0
1.2325600745E9	224.89380105718405	722372.1700253274
1.2328796705E9	291.20312632813693	0.0
1.2331988665E9	247.75944584382873	0.0
1.233510837E9	282.1363805276849	722372.1700253274
1.2338121355E9	304.1286656988254	0.0
1.2341094015E9	296.7409426929231	0.0
1.2343962395E9	259.4468085106383	722372.1700253274
1.23459549E9	294.65219680570993	0.0
1.2347282085E9	299.3475930756462	0.0
1.23493034E9	286.03904340358065	722372.1700253274
1.2351851035E9	291.79947435715303	0.0
1.2354287035E9	279.93170426065166	0.0
1.235663826E9	276.52642698868027	722372.1700253274
1.235894999E9	305.70055551422263	0.0
1.236123212E9	287.01212091945143	0.0
1.2363451615E9	285.2871901932445	722372.1700253274
1.236559101E9	221.5258426966292	0.0
1.2367647535E9	297.7891249549874	0.0
1.236962959E9	245.03397341211226	722372.1700253274
1.2371580895E9	295.4022620318741	0.0
1.237347526E9	286.51339134125635	0.0
1.237531526E9	287.8244002402572	722372.1700253274
1.2377105145E9	228.20114942528735	0.0
1.237882035E9	279.8726938267597	0.0
1.2380449375E9	285.96101033005795	722372.1700253274
1.238200508E9	294.0472645475725	0.0
1.2383546965E9	261.59842519685037	0.0
1.2385080855E9	272.7255784061697	722372.1700253274
1.238659708E9	224.0217076700434	0.0
1.2388079415E9	254.02631578947367	0.0
1.2389537875E9	293.4976726782908	722372.1700253274
1.2390981595E9	240.86738906088752	0.0
1.239241155E9	311.53386454183266	0.0
1.23938377E9	284.63914885544455	722372.1700253274
1.239523837E9	230.04663923182443	0.0
1.2396614805E9	246.8907469342252	0.0
1.2397979815E9	288.8893709327549	722372.1700253274
1.2398658115E9	0.0	0.0
1.2399331055E9	279.7948248080629	0.0
1.240067526E9	290.1004550861044	722372.1700253274
1.2402015135E9	287.17067509838876	0.0
1.2403343185E9	283.0987282024387	0.0
1.240463255E9	284.1322297262987	722372.1700253274
1.2405882285E9	290.4756091790868	0.0
1.2407117605E9	293.571277997365	0.0
1.2408344905E9	298.6126624046195	722372.1700253274
1.2409547685E9	296.44257117644327	0.0
1.241072398E9	259.99042553191487	0.0
1.241189119E9	305.50557324840764	722372.1700253274
1.2413052295E9	292.915837917901	0.0
1.241419816E9	301.82056635083774	0.0
1.241532907E9	308.9152589958355	722372.1700253274
1.2416443825E9	167.2	0.0
1.241754342E9	280.9153983504804	0.0
1.241862925E9	297.69794906278895	722372.1700253274
1.2419699985E9	297.05739614994934	0.0
1.2420765565E9	298.7215837172801	0.0
1.242181084E9	285.7928270333771	722372.1700253274
